,Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Phone_Status,Email_Status
18,EMP1018,Charlie,Garcia,30.0,Cloud Tech-Nevada,Inactive,9/19/2024,94726.46,charlie.garcia@example.com,2044397358,Excellent,False,Cloud Tech,Nevada,Valid,Needs Verification
19,EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,1/2/2020,91926.12,charlie.williams@example.com,7107256365,Average,True,Admin,Illinois,Valid,Needs Verification
20,EMP1020,Bob,Miller,35.0,HR-New York,Active,5/8/2021,111460.67,bob.miller@example.com,9411800536,Excellent,True,HR,New York,Valid,Needs Verification
21,EMP1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,9/19/2020,96182.56,bob.jones@example.com,5990048963,Good,False,Cloud Tech,Illinois,Valid,Needs Verification
22,EMP1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,3/9/2021,115023.94,charlie.johnson@example.com,6528092427,Average,True,Sales,Illinois,Valid,Needs Verification
23,EMP1023,David,Garcia,35.0,Finance-Nevada,Pending,2/3/2022,80667.01,david.garcia@example.com,7572158623,Excellent,False,Finance,Nevada,Valid,Needs Verification
24,EMP1024,Bob,Brown,30.0,Admin-Texas,Inactive,2/13/2020,91181.61,bob.brown@example.com,1502745643,Good,True,Admin,Texas,Valid,Needs Verification
25,EMP1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,4/30/2020,66025.92,david.miller@example.com,9485625727,Average,False,Cloud Tech,Nevada,Valid,Needs Verification
26,EMP1026,Frank,Miller,25.0,Sales-New York,Inactive,10/2/2023,83979.01,frank.miller@example.com,7032032073,Average,False,Sales,New York,Valid,Needs Verification
27,EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,7/12/2020,56785.16,heidi.johnson@example.com,2761707586,Excellent,True,Finance,Florida,Valid,Needs Verification
28,EMP1028,Grace,Garcia,40.0,Finance-Nevada,Active,10/11/2023,95741.88,grace.garcia@example.com,7712151341,Excellent,False,Finance,Nevada,Valid,Needs Verification
29,EMP1029,Alice,Brown,40.0,DevOps-California,Active,5/24/2021,63411.31,alice.brown@example.com,2849939088,Excellent,True,DevOps,California,Valid,Needs Verification
30,EMP1030,Charlie,Jones,40.0,Admin-California,Inactive,5/26/2021,111214.02,charlie.jones@example.com,2613715040,Good,True,Admin,California,Valid,Needs Verification
31,EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,7/10/2020,114845.69,bob.smith@example.com,6591520176,Excellent,True,DevOps,Illinois,Valid,Needs Verification
32,EMP1032,Charlie,Brown,40.0,Finance-Florida,Active,11/5/2024,78072.82,charlie.brown@example.com,7490509758,Average,False,Finance,Florida,Valid,Needs Verification
33,EMP1033,Grace,Johnson,25.0,Finance-California,Inactive,8/7/2021,79610.52,grace.johnson@example.com,2304501895,Average,False,Finance,California,Valid,Needs Verification
34,EMP1034,Heidi,Miller,30.0,Admin-California,Active,4/29/2020,90542.62,heidi.miller@example.com,1642361031,Excellent,True,Admin,California,Valid,Needs Verification
35,EMP1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,10/26/2022,114357.1,frank.jones@example.com,6642147648,Excellent,True,Cloud Tech,Illinois,Valid,Needs Verification
36,EMP1036,Alice,Brown,30.0,Cloud Tech-New York,Active,5/3/2023,54757.26,alice.brown@example.com,2515837766,Poor,False,Cloud Tech,New York,Valid,Needs Verification
37,EMP1037,Grace,Smith,25.0,Sales-New York,Pending,5/2/2023,52781.92,grace.smith@example.com,4996165925,Average,True,Sales,New York,Valid,Needs Verification
38,EMP1038,Frank,Smith,35.0,Admin-Nevada,Pending,10/5/2021,66708.02,frank.smith@example.com,6108573277,Good,True,Admin,Nevada,Valid,Needs Verification
39,EMP1039,Eva,Williams,40.0,HR-Texas,Active,7/27/2022,93481.15,eva.williams@example.com,8147617421,Poor,False,HR,Texas,Valid,Needs Verification
40,EMP1040,Bob,Williams,25.0,Sales-New York,Pending,6/27/2021,59271.96,bob.williams@example.com,4386490809,Excellent,True,Sales,New York,Valid,Needs Verification
41,EMP1041,Bob,Davis,30.0,HR-California,Active,6/16/2022,108362.15,bob.davis@example.com,8186617944,Excellent,False,HR,California,Valid,Needs Verification
42,EMP1042,Alice,Johnson,30.0,HR-Nevada,Active,12/3/2024,59400.38,alice.johnson@example.com,4918017225,Average,True,HR,Nevada,Valid,Needs Verification
43,EMP1043,Bob,Garcia,30.0,Admin-California,Inactive,5/23/2023,64744.08,bob.garcia@example.com,,Excellent,False,Admin,California,Invalid,Needs Verification
44,EMP1044,Eva,Brown,30.0,Finance-California,Active,7/8/2020,94399.91,eva.brown@example.com,5232194167,Good,True,Finance,California,Valid,Needs Verification
45,EMP1045,Alice,Brown,25.0,HR-New York,Pending,6/20/2021,61310.74,alice.brown@example.com,,Average,True,HR,New York,Invalid,Needs Verification
46,EMP1046,Grace,Garcia,30.0,Cloud Tech-Texas,Active,12/13/2024,98371.37,grace.garcia@example.com,7499564121,Excellent,False,Cloud Tech,Texas,Valid,Needs Verification
47,EMP1047,Alice,Davis,35.0,Sales-Illinois,Active,5/30/2022,58921.19,alice.davis@example.com,,Average,True,Sales,Illinois,Invalid,Needs Verification
48,EMP1048,Alice,Miller,35.0,Admin-Nevada,Active,9/27/2023,57195.55,alice.miller@example.com,6831472759,Excellent,False,Admin,Nevada,Valid,Needs Verification
49,EMP1049,Grace,Miller,30.0,DevOps-New York,Active,11/5/2024,61375.12,grace.miller@example.com,1227770792,Excellent,True,DevOps,New York,Valid,Needs Verification
50,EMP1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,11/11/2021,104767.05,charlie.davis@example.com,3496050165,Excellent,False,Cloud Tech,New York,Valid,Needs Verification
51,EMP1051,David,Miller,35.0,Admin-Nevada,Active,2/22/2022,111051.67,david.miller@example.com,7998407677,Good,False,Admin,Nevada,Valid,Needs Verification
52,EMP1052,David,Williams,30.0,Finance-California,Inactive,8/7/2024,105674.18,david.williams@example.com,9973080694,Good,False,Finance,California,Valid,Needs Verification
53,EMP1053,Alice,Brown,30.0,Finance-California,Inactive,11/5/2024,54859.45,alice.brown@example.com,8146717956,Average,False,Finance,California,Valid,Needs Verification
54,EMP1054,Frank,Davis,30.0,Finance-Nevada,Pending,11/9/2021,115746.6,frank.davis@example.com,6024375737,Excellent,True,Finance,Nevada,Valid,Needs Verification
55,EMP1055,Eva,Brown,30.0,Sales-California,Active,8/10/2020,91759.99,eva.brown@example.com,3959724664,Excellent,True,Sales,California,Valid,Needs Verification
56,EMP1056,Frank,Garcia,40.0,Sales-Illinois,Active,2/27/2022,112965.33,frank.garcia@example.com,7293417222,Good,False,Sales,Illinois,Valid,Needs Verification
57,EMP1057,Alice,Smith,40.0,Cloud Tech-Illinois,Pending,11/7/2023,100360.1,alice.smith@example.com,2971674337,Excellent,False,Cloud Tech,Illinois,Valid,Needs Verification
58,EMP1058,David,Williams,35.0,Finance-Texas,Pending,11/7/2021,93620.88,david.williams@example.com,,Good,False,Finance,Texas,Invalid,Needs Verification
59,EMP1059,Bob,Jones,35.0,Sales-California,Pending,4/16/2022,72832.8,bob.jones@example.com,5619318373,Excellent,True,Sales,California,Valid,Needs Verification
60,EMP1060,Charlie,Williams,30.0,Finance-Nevada,Inactive,10/19/2023,102369.42,charlie.williams@example.com,5508428909,Average,True,Finance,Nevada,Valid,Needs Verification
61,EMP1061,Eva,Davis,40.0,Sales-Texas,Inactive,8/10/2021,64712.79,eva.davis@example.com,7711991807,Excellent,True,Sales,Texas,Valid,Needs Verification
62,EMP1062,Frank,Jones,40.0,Finance-Florida,Pending,3/13/2021,85782.18,frank.jones@example.com,1213524786,Excellent,True,Finance,Florida,Valid,Needs Verification
63,EMP1063,Charlie,Smith,25.0,HR-Illinois,Pending,7/20/2023,93348.26,charlie.smith@example.com,1255213759,Poor,False,HR,Illinois,Valid,Needs Verification
64,EMP1064,David,Davis,35.0,Admin-New York,Active,2/20/2020,53234.96,david.davis@example.com,3754821455,Good,False,Admin,New York,Valid,Needs Verification
65,EMP1065,Bob,Johnson,40.0,Finance-Nevada,Pending,2/2/2021,100284.21,bob.johnson@example.com,5328632665,Excellent,False,Finance,Nevada,Valid,Needs Verification
66,EMP1066,Grace,Brown,30.0,Admin-Nevada,Pending,1/12/2020,112486.19,grace.brown@example.com,7850720810,Excellent,True,Admin,Nevada,Valid,Needs Verification
67,EMP1067,Bob,Smith,40.0,Admin-New York,Pending,11/26/2022,82518.49,bob.smith@example.com,5562606028,Poor,True,Admin,New York,Valid,Needs Verification
68,EMP1068,Bob,Brown,40.0,Admin-Florida,Pending,12/23/2022,119152.47,bob.brown@example.com,,Poor,True,Admin,Florida,Invalid,Needs Verification
69,EMP1069,Heidi,Miller,30.0,DevOps-Illinois,Inactive,8/28/2024,113479.83,heidi.miller@example.com,4892673898,Good,False,DevOps,Illinois,Valid,Needs Verification
70,EMP1070,Charlie,Johnson,40.0,Finance-California,Active,9/16/2024,94636.3,charlie.johnson@example.com,7563410855,Poor,False,Finance,California,Valid,Needs Verification
71,EMP1071,Heidi,Johnson,30.0,HR-Florida,Active,1/1/2024,70000.97,heidi.johnson@example.com,2884318847,Average,True,HR,Florida,Valid,Needs Verification
72,EMP1072,Frank,Smith,30.0,Cloud Tech-New York,Active,4/18/2021,76812.47,frank.smith@example.com,5200894345,Poor,False,Cloud Tech,New York,Valid,Needs Verification
73,EMP1073,David,Johnson,25.0,Finance-Florida,Inactive,1/16/2023,82614.7,david.johnson@example.com,8105485100,Average,True,Finance,Florida,Valid,Needs Verification
74,EMP1074,Grace,Jones,40.0,Sales-Nevada,Active,10/20/2024,111645.97,grace.jones@example.com,7490753997,Good,True,Sales,Nevada,Valid,Needs Verification
75,EMP1075,Heidi,Johnson,25.0,HR-California,Inactive,10/13/2024,112414.91,heidi.johnson@example.com,9354492682,Good,False,HR,California,Valid,Needs Verification
76,EMP1076,David,Brown,40.0,Admin-California,Inactive,9/21/2022,52031.74,david.brown@example.com,1589357125,Good,True,Admin,California,Valid,Needs Verification
77,EMP1077,Grace,Brown,30.0,Finance-New York,Pending,12/29/2022,51887.65,grace.brown@example.com,6110627370,Good,False,Finance,New York,Valid,Needs Verification
78,EMP1078,Alice,Davis,25.0,DevOps-Florida,Active,11/10/2024,82318.89,alice.davis@example.com,5869886496,Good,True,DevOps,Florida,Valid,Needs Verification
79,EMP1079,Grace,Brown,35.0,Admin-Florida,Inactive,11/22/2021,103286.08,grace.brown@example.com,6776228276,Average,False,Admin,Florida,Valid,Needs Verification
80,EMP1080,Grace,Davis,35.0,Cloud Tech-Florida,Active,3/14/2024,87759.33,grace.davis@example.com,2881377027,Average,False,Cloud Tech,Florida,Valid,Needs Verification
81,EMP1081,Frank,Brown,30.0,DevOps-Texas,Pending,3/23/2020,102796.32,frank.brown@example.com,5196115939,Good,False,DevOps,Texas,Valid,Needs Verification
82,EMP1082,David,Jones,25.0,Sales-New York,Active,9/15/2020,83149.27,david.jones@example.com,8215454469,Poor,True,Sales,New York,Valid,Needs Verification
83,EMP1083,David,Garcia,40.0,DevOps-California,Inactive,12/9/2020,92412.49,david.garcia@example.com,2296044326,Excellent,True,DevOps,California,Valid,Needs Verification
84,EMP1084,Bob,Davis,30.0,HR-Texas,Pending,2/22/2020,115022.1,bob.davis@example.com,,Good,False,HR,Texas,Invalid,Needs Verification
85,EMP1085,Grace,Williams,40.0,DevOps-New York,Active,4/27/2023,98343.01,grace.williams@example.com,9756792286,Poor,False,DevOps,New York,Valid,Needs Verification
86,EMP1086,Bob,Miller,35.0,DevOps-Illinois,Active,6/18/2024,118869.1,bob.miller@example.com,7725199662,Excellent,True,DevOps,Illinois,Valid,Needs Verification
87,EMP1087,Frank,Smith,30.0,Finance-Nevada,Inactive,5/21/2020,85417.26,frank.smith@example.com,6580741208,Good,True,Finance,Nevada,Valid,Needs Verification
88,EMP1088,Grace,Brown,40.0,Cloud Tech-Florida,Inactive,7/25/2023,112410.25,grace.brown@example.com,4818139889,Good,True,Cloud Tech,Florida,Valid,Needs Verification
89,EMP1089,Charlie,Johnson,40.0,Admin-Nevada,Pending,8/25/2023,68905.77,charlie.johnson@example.com,9837801819,Average,False,Admin,Nevada,Valid,Needs Verification
90,EMP1090,Heidi,Garcia,40.0,Finance-Nevada,Pending,7/3/2021,72561.32,heidi.garcia@example.com,4339718955,Excellent,True,Finance,Nevada,Valid,Needs Verification
91,EMP1091,Bob,Brown,35.0,Finance-New York,Inactive,3/13/2023,92723.22,bob.brown@example.com,9070562607,Excellent,True,Finance,New York,Valid,Needs Verification
92,EMP1092,Alice,Johnson,40.0,HR-New York,Inactive,3/10/2021,74837.75,alice.johnson@example.com,5641118241,Poor,False,HR,New York,Valid,Needs Verification
93,EMP1093,Eva,Miller,30.0,DevOps-California,Pending,1/21/2020,86163.91,eva.miller@example.com,2412462094,Average,True,DevOps,California,Valid,Needs Verification
94,EMP1094,David,Miller,40.0,Finance-Illinois,Active,11/15/2023,83326.52,david.miller@example.com,2004615264,Average,True,Finance,Illinois,Valid,Needs Verification
95,EMP1095,Heidi,Miller,25.0,Cloud Tech-California,Active,4/8/2022,98425.1,heidi.miller@example.com,4610339936,Average,True,Cloud Tech,California,Valid,Needs Verification
96,EMP1096,Frank,Johnson,40.0,Sales-Illinois,Inactive,5/21/2022,119764.2,frank.johnson@example.com,8861405785,Average,False,Sales,Illinois,Valid,Needs Verification
97,EMP1097,Frank,Brown,40.0,HR-California,Inactive,4/17/2021,58445.91,frank.brown@example.com,1706304890,Excellent,False,HR,California,Valid,Needs Verification
98,EMP1098,Bob,Miller,30.0,DevOps-New York,Active,3/19/2021,101702.33,bob.miller@example.com,3824967182,Excellent,False,DevOps,New York,Valid,Needs Verification
99,EMP1099,Eva,Jones,25.0,Admin-California,Active,1/9/2022,85547.87,eva.jones@example.com,2582386869,Good,False,Admin,California,Valid,Needs Verification
100,EMP1100,Charlie,Davis,35.0,Cloud Tech-Texas,Pending,8/21/2021,98819.22,charlie.davis@example.com,,Good,False,Cloud Tech,Texas,Invalid,Needs Verification
101,EMP1101,Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,8/19/2022,83509.99,heidi.johnson@example.com,4653984027,Average,False,Cloud Tech,Illinois,Valid,Needs Verification
102,EMP1102,Alice,Johnson,35.0,Finance-Texas,Active,3/31/2022,84422.26,alice.johnson@example.com,9141612845,Average,False,Finance,Texas,Valid,Needs Verification
103,EMP1103,Alice,Brown,30.0,Admin-Illinois,Inactive,6/23/2020,119574.27,alice.brown@example.com,3985547434,Average,True,Admin,Illinois,Valid,Needs Verification
104,EMP1104,Grace,Johnson,30.0,Sales-Illinois,Active,5/7/2024,86580.08,grace.johnson@example.com,5379502096,Good,True,Sales,Illinois,Valid,Needs Verification
105,EMP1105,Heidi,Johnson,35.0,Sales-Florida,Inactive,3/10/2023,93471.91,heidi.johnson@example.com,,Poor,False,Sales,Florida,Invalid,Needs Verification
106,EMP1106,Bob,Miller,30.0,DevOps-New York,Inactive,9/14/2023,55683.12,bob.miller@example.com,8071569561,Poor,True,DevOps,New York,Valid,Needs Verification
107,EMP1107,Bob,Brown,30.0,Cloud Tech-Florida,Inactive,11/12/2023,91566.78,bob.brown@example.com,,Good,True,Cloud Tech,Florida,Invalid,Needs Verification
108,EMP1108,David,Miller,35.0,DevOps-California,Pending,10/26/2024,81782.19,david.miller@example.com,5319433749,Good,False,DevOps,California,Valid,Needs Verification
109,EMP1109,Eva,Davis,30.0,DevOps-New York,Inactive,8/23/2020,88119.37,eva.davis@example.com,4793036148,Good,True,DevOps,New York,Valid,Needs Verification
110,EMP1110,Eva,Garcia,30.0,Cloud Tech-Texas,Active,6/11/2024,71532.83,eva.garcia@example.com,8728399920,Good,True,Cloud Tech,Texas,Valid,Needs Verification
111,EMP1111,Eva,Davis,40.0,Cloud Tech-Florida,Pending,9/14/2021,98981.36,eva.davis@example.com,9212493842,Good,True,Cloud Tech,Florida,Valid,Needs Verification
112,EMP1112,Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,12/26/2024,80242.01,heidi.garcia@example.com,,Good,True,Cloud Tech,Illinois,Invalid,Needs Verification
113,EMP1113,Eva,Miller,25.0,Cloud Tech-New York,Pending,9/8/2024,110236.18,eva.miller@example.com,6641877579,Average,True,Cloud Tech,New York,Valid,Needs Verification
114,EMP1114,Alice,Davis,35.0,Sales-Texas,Active,8/21/2022,86327.47,alice.davis@example.com,3046875062,Average,False,Sales,Texas,Valid,Needs Verification
115,EMP1115,Eva,Brown,30.0,Sales-Florida,Pending,7/25/2024,84420.81,eva.brown@example.com,5190361331,Average,False,Sales,Florida,Valid,Needs Verification
116,EMP1116,Frank,Smith,40.0,HR-California,Pending,8/2/2020,110041.32,frank.smith@example.com,5411076094,Average,False,HR,California,Valid,Needs Verification
117,EMP1117,Heidi,Miller,35.0,DevOps-Florida,Pending,3/16/2020,81837.81,heidi.miller@example.com,4317350582,Good,True,DevOps,Florida,Valid,Needs Verification
118,EMP1118,Frank,Garcia,25.0,Finance-Illinois,Active,9/8/2023,110855.72,frank.garcia@example.com,1997179109,Poor,False,Finance,Illinois,Valid,Needs Verification
119,EMP1119,Alice,Jones,30.0,Sales-California,Pending,3/29/2024,84894.52,alice.jones@example.com,,Excellent,True,Sales,California,Invalid,Needs Verification
120,EMP1120,Alice,Garcia,30.0,HR-Illinois,Active,8/12/2021,80668.13,alice.garcia@example.com,6110804660,Good,True,HR,Illinois,Valid,Needs Verification
121,EMP1121,Bob,Jones,25.0,DevOps-Illinois,Active,12/24/2023,61086.47,bob.jones@example.com,9639907675,Excellent,True,DevOps,Illinois,Valid,Needs Verification
122,EMP1122,Grace,Johnson,25.0,Admin-Texas,Inactive,8/28/2020,95339.68,grace.johnson@example.com,9915078592,Poor,True,Admin,Texas,Valid,Needs Verification
123,EMP1123,Eva,Davis,30.0,DevOps-California,Inactive,9/5/2024,83774.97,eva.davis@example.com,1109193927,Average,False,DevOps,California,Valid,Needs Verification
124,EMP1124,Heidi,Jones,30.0,Admin-Florida,Active,5/12/2023,85576.86,heidi.jones@example.com,4567972319,Poor,False,Admin,Florida,Valid,Needs Verification
125,EMP1125,Bob,Garcia,35.0,Finance-California,Pending,7/1/2021,107438.46,bob.garcia@example.com,,Good,True,Finance,California,Invalid,Needs Verification
126,EMP1126,Eva,Johnson,30.0,Sales-Nevada,Inactive,11/7/2024,60401.68,eva.johnson@example.com,2274954507,Average,False,Sales,Nevada,Valid,Needs Verification
127,EMP1127,Frank,Smith,35.0,Sales-Illinois,Inactive,7/21/2022,115299.66,frank.smith@example.com,9203880652,Good,True,Sales,Illinois,Valid,Needs Verification
128,EMP1128,David,Brown,30.0,Finance-New York,Inactive,3/30/2020,72272.34,david.brown@example.com,3315377958,Average,False,Finance,New York,Valid,Needs Verification
129,EMP1129,Grace,Brown,40.0,DevOps-Nevada,Active,10/11/2022,117537.71,grace.brown@example.com,9594652169,Excellent,False,DevOps,Nevada,Valid,Needs Verification
130,EMP1130,Frank,Brown,25.0,Finance-Texas,Pending,7/24/2022,51074.33,frank.brown@example.com,7303379336,Excellent,True,Finance,Texas,Valid,Needs Verification
131,EMP1131,Charlie,Jones,25.0,Finance-California,Inactive,6/30/2023,98489.32,charlie.jones@example.com,5636205014,Excellent,False,Finance,California,Valid,Needs Verification
132,EMP1132,Frank,Smith,30.0,Finance-California,Pending,1/11/2024,112120.71,frank.smith@example.com,,Poor,True,Finance,California,Invalid,Needs Verification
133,EMP1133,Alice,Jones,30.0,Cloud Tech-New York,Pending,11/2/2023,114465.04,alice.jones@example.com,,Good,False,Cloud Tech,New York,Invalid,Needs Verification
134,EMP1134,Bob,Davis,40.0,Cloud Tech-Nevada,Pending,11/22/2024,57035.51,bob.davis@example.com,3230241025,Poor,True,Cloud Tech,Nevada,Valid,Needs Verification
135,EMP1135,Eva,Jones,25.0,Cloud Tech-California,Active,8/23/2021,75092.43,eva.jones@example.com,1534735527,Excellent,True,Cloud Tech,California,Valid,Needs Verification
136,EMP1136,David,Smith,30.0,Finance-Illinois,Pending,6/11/2024,62603.98,david.smith@example.com,9611223385,Good,False,Finance,Illinois,Valid,Needs Verification
137,EMP1137,Grace,Smith,30.0,DevOps-New York,Inactive,4/9/2023,60018.24,grace.smith@example.com,5596309937,Excellent,False,DevOps,New York,Valid,Needs Verification
138,EMP1138,Eva,Davis,40.0,HR-Nevada,Active,7/5/2024,82567.73,eva.davis@example.com,4253042896,Poor,True,HR,Nevada,Valid,Needs Verification
139,EMP1139,Charlie,Smith,25.0,Finance-California,Pending,9/4/2021,94725.71,charlie.smith@example.com,3179128684,Poor,False,Finance,California,Valid,Needs Verification
140,EMP1140,Eva,Garcia,40.0,HR-New York,Inactive,10/13/2024,83824.56,eva.garcia@example.com,7872558776,Poor,False,HR,New York,Valid,Needs Verification
141,EMP1141,Frank,Smith,30.0,HR-Nevada,Inactive,2/14/2020,118456.11,frank.smith@example.com,4969033372,Excellent,True,HR,Nevada,Valid,Needs Verification
142,EMP1142,Eva,Brown,25.0,Sales-Nevada,Pending,4/10/2020,113743.19,eva.brown@example.com,6346692547,Good,True,Sales,Nevada,Valid,Needs Verification
143,EMP1143,Eva,Garcia,30.0,Sales-California,Active,7/27/2023,63309.24,eva.garcia@example.com,1214785389,Good,False,Sales,California,Valid,Needs Verification
144,EMP1144,Charlie,Garcia,25.0,DevOps-Nevada,Active,9/24/2021,105202.73,charlie.garcia@example.com,7895677664,Excellent,True,DevOps,Nevada,Valid,Needs Verification
145,EMP1145,Frank,Davis,30.0,Cloud Tech-California,Inactive,3/10/2024,79085.22,frank.davis@example.com,7546027340,Good,True,Cloud Tech,California,Valid,Needs Verification
146,EMP1146,Frank,Williams,30.0,Sales-California,Active,6/10/2021,113983.43,frank.williams@example.com,5148881430,Excellent,True,Sales,California,Valid,Needs Verification
147,EMP1147,Eva,Williams,35.0,Cloud Tech-Florida,Active,10/15/2020,102790.6,eva.williams@example.com,1150835353,Good,False,Cloud Tech,Florida,Valid,Needs Verification
148,EMP1148,Grace,Smith,30.0,HR-Texas,Inactive,1/29/2020,68512.1,grace.smith@example.com,4439284043,Average,False,HR,Texas,Valid,Needs Verification
149,EMP1149,Frank,Garcia,35.0,Sales-Florida,Pending,1/30/2022,57584.23,frank.garcia@example.com,5669078262,Average,True,Sales,Florida,Valid,Needs Verification
150,EMP1150,Alice,Williams,30.0,Sales-California,Pending,3/29/2021,95335.67,alice.williams@example.com,3373898774,Poor,False,Sales,California,Valid,Needs Verification
151,EMP1151,Heidi,Williams,35.0,DevOps-Florida,Active,10/13/2020,53174.28,heidi.williams@example.com,1536637779,Average,True,DevOps,Florida,Valid,Needs Verification
152,EMP1152,Heidi,Smith,25.0,Cloud Tech-New York,Pending,10/4/2020,77205.21,heidi.smith@example.com,5292407552,Average,False,Cloud Tech,New York,Valid,Needs Verification
153,EMP1153,Grace,Williams,30.0,DevOps-Nevada,Active,12/18/2024,79041.92,grace.williams@example.com,6668459089,Average,True,DevOps,Nevada,Valid,Needs Verification
154,EMP1154,Heidi,Jones,30.0,Finance-California,Active,11/14/2023,75937.1,heidi.jones@example.com,2259999662,Excellent,True,Finance,California,Valid,Needs Verification
155,EMP1155,David,Johnson,35.0,Cloud Tech-Nevada,Inactive,1/20/2023,113118.73,david.johnson@example.com,6186371596,Average,False,Cloud Tech,Nevada,Valid,Needs Verification
156,EMP1156,Alice,Davis,40.0,HR-New York,Active,10/2/2024,107693.38,alice.davis@example.com,4121820969,Average,True,HR,New York,Valid,Needs Verification
157,EMP1157,David,Johnson,30.0,Cloud Tech-Texas,Inactive,5/13/2021,119217.46,david.johnson@example.com,2316433480,Poor,False,Cloud Tech,Texas,Valid,Needs Verification
158,EMP1158,David,Smith,25.0,Sales-New York,Pending,3/18/2021,106913.71,david.smith@example.com,7058025661,Average,False,Sales,New York,Valid,Needs Verification
159,EMP1159,Charlie,Brown,30.0,Cloud Tech-California,Active,9/23/2020,87815.08,charlie.brown@example.com,1286716322,Average,True,Cloud Tech,California,Valid,Needs Verification
160,EMP1160,Bob,Davis,25.0,Admin-Texas,Inactive,6/5/2024,105190.21,bob.davis@example.com,4672994937,Good,True,Admin,Texas,Valid,Needs Verification
161,EMP1161,Alice,Smith,30.0,HR-Texas,Active,2/28/2024,79467.24,alice.smith@example.com,7430271692,Poor,False,HR,Texas,Valid,Needs Verification
162,EMP1162,Bob,Garcia,40.0,Finance-California,Pending,4/30/2023,57633.78,bob.garcia@example.com,8597779013,Poor,True,Finance,California,Valid,Needs Verification
